PC;arg;ph;P;K;Na;MO;hal;Al;Ca;Mg;CTCph7;CTCef;V;SB;cd;cotmedia;desmax;decmed
1;31;3,9;2;54;0;4,2;24,4;11,2;0,8;0,5;25,83846154;37,03846154;5,567133075;1,438461538;94,28;1000,25;4;8
2;27;4,2;1,7;95;0;7,3;19,4;6,1;2,8;1,2;23,64358974;29,74358974;17,9481618;4,243589744;94,54;1009,25;5;9
3;24;4,8;5,6;125;0;9,1;9,7;1,6;9,2;1,8;21,02051282;22,62051282;53,85459868;11,32051282;93,24;1014,5;4;9
4;28;3,8;1,3;88;0;6,5;27,4;9,4;2,7;1;31,32564103;40,72564103;12,5317181;3,925641026;94,8;1019,5;2;5
5;22;4,5;2,5;188;0;9,5;13,8;2,8;6;1,4;21,68205128;24,48205128;36,35288553;7,882051282;92,72;1022,75;3;6
6;21;4,9;6,6;202;4;9,6;9,7;1,1;11,1;2,1;23,43534002;24,53534002;58,60951883;13,73534002;91,68;1028,75;3;6
7;22;4,8;4,3;165;3;9,2;8,7;1,1;11,5;2,1;22,7361204;23,8361204;61,73489652;14,0361204;86,48;1031,5;5;6
8;18;4,7;2,3;122;5;7,6;12,3;1,6;7,3;1,7;21,63455964;23,23455964;43,14652018;9,334559643;91,16;1032,25;4;5
9;28;4;2,1;93;0;7,1;17,3;6,7;2,2;0,7;20,43846154;27,13846154;15,35566428;3,138461538;89,6;1032,25;2;5
10;40;4,2;0,5;51;0;4,2;19,4;6,1;1,8;0,8;22,13076923;28,23076923;12,33924227;2,730769231;90,38;1039,25;2;6
11;33;4,7;1,2;91;0;7,7;9,7;2,1;3;1,1;14,03333333;16,13333333;30,87885986;4,333333333;89,08;1043,25;7;6
12;29;4,5;0,7;64;0;6,9;10,9;3,4;7;1,5;19,56410256;22,96410256;44,28571429;8,664102564;93,76;1049,25;12;14
13;30;4,7;1,7;141;0;5,7;9,7;2,6;5,5;2,9;18,46153846;21,06153846;47,45833333;8,761538462;92,98;980,25;3;12
14;31;4,5;4;115;0;8;15,4;2,8;8,2;2,7;26,59487179;29,39487179;42,0940995;11,19487179;85,7;986,25;4;9
15;28;4,7;6,3;125;0;8,7;12,3;2,1;2,2;1,5;16,32051282;18,42051282;24,63472113;4,020512821;95,32;991;6;8
16;30;4,1;2,8;57;0;6;19,4;6,8;4,9;1,1;25,54615385;32,34615385;24,05901837;6,146153846;91,16;996,5;7;9
17;26;4,9;3,6;271;0;9,6;8,7;1,1;9;2,4;20,79487179;21,89487179;58,16276202;12,09487179;94,8;1004,5;7;7
18;30;4,2;9,6;75;0;7,7;17,3;4,4;5,1;1,7;24,29230769;28,69230769;28,78404053;6,992307692;90,64;1113,432863;1;2
19;15;4,6;5;72;0;11,5;17,3;2,5;7,2;2,1;26,78461538;29,28461538;35,41068352;9,484615385;90,38;1095,679466;8;16
20;24;3,9;3,1;38;0;5,8;24,4;7,6;1,4;0,6;26,4974359;34,0974359;7,915618347;2,097435897;91,94;1073,362952;6;14
21;19;4,7;3,8;65;0;8,8;10,9;1,5;6,9;1;18,96666667;20,46666667;42,53075571;8,066666667;94,8;1052,048982;7;13
22;26;5,2;12,2;143;3;12;8,7;0,5;9,9;3,8;22,77971014;23,27971014;61,80811808;14,07971014;84,14;1036,310911;9;17
23;26;5,8;9,7;177;9;11,2;4,4;0;14,4;4,5;23,79297659;23,79297659;81,50714778;19,39297659;67,76;1023,787504;9;20
24;28;4,6;9,9;124;6;10,3;10,9;1,2;7,7;2,6;21,54403567;22,74403567;49,40595084;10,64403567;75,56;1016,91903;6;10
25;35;4,9;12,6;139;4;9;10,9;0,8;9,4;3,8;24,47380156;25,27380156;55,46257915;13,57380156;82,06;1012,127293;4;6
26;30;4,3;9;97;0;7,7;15,4;2,6;5,5;1,9;23,04871795;25,64871795;33,18500389;7,648717949;87,26;1013,219367;2;3
27;35;4,7;8,8;118;0;8,6;12,3;0,8;8,3;2,1;23,0025641;23,8025641;46,52770037;10,7025641;90,12;1007,609121;3;6
28;32;4,5;5,3;127;0;5,2;12,3;2,2;3,8;1,2;17,62564103;19,82564103;30,21530404;5,325641026;94,02;1001,96215;3;7
29;38;4,8;6,8;121;0;6,1;27,4;1;4,8;1;33,51025641;34,51025641;18,23398883;6,11025641;94,8;999,2193992;5;9
30;14;5,5;6,3;99;7;6,5;6,9;0;9;0,2;16,38428094;16,38428094;57,88646431;9,484280936;91,16;988,4439505;4;7
31;23;4,8;5,3;108;0;6,9;12,3;0,8;8,4;0,2;21,17692308;21,97692308;41,91790774;8,876923077;86,74;992,4017071;5;9
32;25;4,5;6,3;91;5;6,6;17,3;1,3;7,2;0,2;24,95507246;26,25507246;30,67541669;7,655072464;87,52;992,6094875;5;10
