PC;Exp;Family;Species;dbh
1;Norte;PRIMULACEAE;Myrsine umbellata;12,73239545
1;Norte;SAPINDACEAE;Allophylus edulis;8,594366927
1;Norte;PRIMULACEAE;Myrsine umbellata;7,002817496
1;Norte;PRIMULACEAE;Myrsine umbellata;7,639437268
1;Norte;PRIMULACEAE;Myrsine umbellata;6,68450761
1;Norte;MYRTACEAE;Eugenia pluriflora;5,252113122
1;Norte;SOLANACEAE;Solanum sanctaecatharinae;6,725986566
1;Norte;PODOCARPACEAE;Podocarpus lambertii;17,44338176
1;Norte;SAPINDACEAE;Matayba elaeagnoides;16,71126902
1;Norte;ASTERACEAE;Gochnatia polymorpha;14,96056465
1;Norte;SOLANACEAE;Solanum sanctaecatharinae;19,8625369
1;Norte;ARAUCARIACEAE;Araucaria angustifolia;5
1;Norte;SALICACEAE;Casearia decandra;5
1;Norte;PODOCARPACEAE;Podocarpus lambertii;7,130141451
1;Norte;RUTACEAE;Zanthoxylum kleinii;5,379437077
1;Norte;BIGNONIACEAE;Jacaranda puberula;9,45380362
1;Norte;MYRTACEAE;Calyptranthes concinna;5,411268065
1;Norte;VERBENACEAE;Duranta vestita;5,315775099
1;Norte;BIGNONIACEAE;Jacaranda puberula;9,230986699
1;Norte;MYRTACEAE;Myrcia laruotteana;15,96142382
1;Norte;ANACARDIACEAE;Lithraea brasiliensis;19,79887492
1;Norte;ANACARDIACEAE;Lithraea brasiliensis;16,80676199
1;Norte;VERBENACEAE;Duranta vestita;9,421972631
1;Norte;SALICACEAE;Casearia decandra;8,350464166
1;Norte;BIGNONIACEAE;Jacaranda puberula;10,37690229
1;Norte;AQUIFOLIACEAE;Ilex theezans;9,390141642
1;Norte;LAURACEAE;Ocotea pulchella;26,26056561
1;Norte;SALICACEAE;Casearia decandra;8,276057041
1;Norte;PODOCARPACEAE;Podocarpus lambertii;9,071831756
1;Norte;SALICACEAE;Casearia decandra;6,68450761
1;Norte;ASTERACEAE;Gochnatia polymorpha;33,76469773
1;Norte;SALICACEAE;Casearia decandra;5,825070917
1;Norte;SAPINDACEAE;Cupania vernalis;5,092958179
1;Norte;BIGNONIACEAE;Jacaranda puberula;5,092958179
1;Norte;CELASTRACEAE;Maytenus dasyclada;11,26124415
1;Norte;SAPINDACEAE;Matayba elaeagnoides;6,079718826
1;Norte;SAPINDACEAE;Matayba elaeagnoides;24,82817112
1;Norte;SALICACEAE;Casearia decandra;8,244226052
1;Norte;ANACARDIACEAE;Lithraea brasiliensis;28,17042493
1;Norte;ASTERACEAE;Gochnatia polymorpha;23,23662169
1;Norte;ERYTHROXYLACEAE;Erythroxylum deciduum;24,35070629
