genus;species;wd
Allophylus ;edulis;"0,54"
Araucaria;angustifolia;"0,5"
Banara;tomentosa;"0,69"
Casearia;decandra;"0,65"
Casearia;obliqua;"0,67"
Calyptranthes;concinna;"0,66"
Cupania;vernalis;"0,57"
Dasyphyllum;tomentosum;"0,56"
Duranta;vestita;"0,46"
Jacaranda;puberula;"0,34"
Lamanonia;ternata;"0,51"
Lithraea;brasiliensis;"0,64"
Matayba;elaeagnoides;"0,49"
Myrcia;guianensis;"0,72"
Myrsine;umbellata;"0,6"
Ocotea;pulchella;"0,49"
Podocarpus;lambertii;"0,43"
Sapium;glandolusum;"0,32"
Zanthoxylum;kleinii;"0,58"
Zanthoxylum;rhoifolium;"0,44"
