n;diameter soil level (cm);sectional area (m2);estimated height (cm);x;y;Distance from propagules source (m)
666;1,357;0,000144627;160;44,53;24,99;51,06291218
665;1,941;0,000295897;140;44,63;24,99;51,15014174
672;1,808;0,000256736;110;42,38;30,29;52,09173159
669;1,838;0,000265327;125;43,33;30,69;53,09769298
812;1,3;0,000132732;90;53,21;11,1;54,35544223
654;1,261;0,000124888;60;50,24;21,64;54,70235095
808;1,5;0,000176715;90;54,65;8,16;55,25584223
809;1,5;0,000176715;100;55,45;7,86;56,0043043
810;1,7;0,00022698;100;55,05;11,3;56,197798
806;1,4;0,000153938;100;54,45;15,01;56,48099326
811;1,6;0,000201062;130;56,01;10,1;56,91335608
652;1,921;0,000289831;100;53,24;21,54;57,43230102
675;1,752;0,000241078;80;45,07;36,19;57,80156572
800;1,1;9,50332E-05;82;59,45;12,31;60,71110772
792;1,7;0,00022698;130;63,73;11,75;64,80413104
640;1,72;0,000232352;125;61,7;19,99;64,85745986
641;1,844;0,000267062;120;61,8;20,39;65,07681692
793;1,2;0,000113097;100;64,08;12,75;65,33612247
798;1,6;0,000201062;90;63,95;14,57;65,58877495
631;1,467;0,000169025;110;63,63;16,49;65,73200895
594;1,667;0,000218253;95;57,29;32,84;66,03491274
630;1,24;0,000120763;100;64,03;16,49;66,1192937
791;1,6;0,000201062;135;65,33;11,75;66,37824493
794;1;7,85398E-05;60;65,58;12,75;66,80792543
644;1,688;0,000223787;120;64,8;20,89;68,08400767
785;1,1;9,50332E-05;80;68,32;9,3;68,95007179
786;1,1;9,50332E-05;65;68,78;9,65;69,45366009
783;1,2;0,000113097;84;69,18;8,16;69,65958656
784;1,6;0,000201062;80;69,18;8,52;69,70267427
797;1,5;0,000176715;100;68,06;15,95;69,90397771
782;1,1;9,50332E-05;60;69,68;7,89;70,12527718
779;1,4;0,000153938;60;69,99;5,11;70,17629372
788;1,4;0,000153938;90;69,23;12,3;70,31417282
781;1,8;0,000254469;120;70,18;8,01;70,63563194
608;1,356;0,000144414;82;66,31;24,48;70,68441483
787;1,6;0,000201062;100;70,03;9,65;70,69174916
789;1,6;0,000201062;90;70,58;11,9;71,57615804
756;1,623;0,000206884;100;71,05;12,15;72,08137762
610;1,825;0,000261587;90;68,71;22,08;72,17056533
611;1,714;0,000230734;87;68,71;22,23;72,21659782
758;1,652;0,000214343;70;71,45;10,55;72,22468415
776;1,2;0,000113097;50;72,79;7,26;73,15115652
622;1,701;0,000227247;100;72,13;12,29;73,16953601
757;1,338;0,000140605;70;72,45;11,15;73,3029672
774;1,2;0,000113097;80;73,29;4,76;73,44441231
755;1,393;0,000152403;66;72,65;14,2;74,02474249
621;1,696;0,000225913;90;73,13;12,29;74,15551901
772;1;7,85398E-05;100;74,27;4,13;74,38474171
773;1,2;0,000113097;55;74,29;4,76;74,44233809
760;1,1;9,50332E-05;61;74,15;7,6;74,53846323
754;1,489;0,000174132;50;73,25;15;74,7700642
604;1,63;0,000208672;100;67,61;32,78;75,13747733
771;1,4;0,000153938;100;75,07;4,13;75,1835208
775;1,3;0,000132732;85;74,89;6,66;75,18555513
770;1,1;9,50332E-05;75;75,67;3,95;75,77302554
620;1,153;0,000104412;80;74,13;15,79;75,79301419
751;1,472;0,000170179;100;76,1;3,27;76,17022318
619;1,666;0,000217992;100;75,13;12,89;76,22774429
752;1,826;0,000261873;130;76,21;3,72;76,30073722
761;1,2;0,000113097;80;76,15;7,9;76,55868664
753;1,39;0,000151747;60;75,05;15,2;76,57377162
734;1,081;9,17786E-05;60;76,52;7,8;76,91651578
768;1,1;9,50332E-05;84;77,27;4,97;77,42967002
737;1,234;0,000119597;50;77,48;3,95;77,58062194
736;1,161;0,000105865;50;77,48;4,9;77,63478859
733;1,36;0,000145267;63;77,29;7,5;77,65303664
767;1,4;0,000153938;80;77,97;4,97;78,12823945
738;1,016;8,10732E-05;50;78,08;4,75;78,22434979
729;1,682;0,000222199;130;77,2;13;78,28690823
732;1,162;0,000106048;50;78,1;7,5;78,45928881
731;1,555;0,000189911;130;78,1;9,4;78,66365107
765;1,7;0,00022698;120;78,77;4,1;78,87663089
740;1,05;8,65901E-05;70;78,72;5,47;78,90981751
739;1,1;9,50332E-05;67;78,88;5,75;79,089297
741;1,269;0,000126477;70;78,91;6,23;79,15554939
742;1,598;0,00020056;130;79,31;3,03;79,36785873
744;1,745;0,000239156;140;79,51;3,42;79,58351902
763;1,9;0,000283529;130;79,57;3,9;79,66551889
762;1,8;0,000254469;120;80,15;3,5;80,22638282
746;1,534;0,000184816;180;81,06;2,02;81,0851651
749;1,616;0,000205103;130;81,5;4,07;81,60156187
748;1,087;9,28002E-05;70;81,7;3,17;81,76147565
718;1,358;0,00014484;80;81,92;6,9;82,21007481
723;1,298;0,000132324;70;82,12;7,7;82,48020611
722;1,164;0,000106413;110;82,12;8,1;82,51850944
724;1,708;0,000229121;125;82,12;8,7;82,57956406
716;1,839;0,000265615;160;82,52;6,24;82,75559196
720;1,632;0,000209185;144;82,72;7,34;83,04501189
721;1,175;0,000108434;72;82,72;8,1;83,11563271
719;1,311;0,000134988;120;82,92;7,2;83,23200346
725;1,174;0,00010825;66;82,89;8,7;83,3453184
727;1,054;8,72511E-05;60;82,89;8,91;83,36750086
714;1,657;0,000215643;100;83,37;6,37;83,61300019
726;1,629;0,000208416;130;83,22;8,51;83,65398078
711;1,928;0,000291947;176;84,29;6,8;84,56384629
710;1,063;8,87476E-05;40;84,57;7,67;84,91709957
709;1,607;0,000202825;90;84,82;9,07;85,30355971
707;1;7,85398E-05;63;85,22;8,36;85,62907217
702;1,868;0,000274059;96;86,02;9,66;86,56070702
701;1,656;0,000215383;130;85,86;11,06;86,56941261
706;1,714;0,000230734;125;86,42;8,36;86,8234185
705;1,23;0,000118823;60;86,92;7,06;87,20624978
700;1,644;0,000212272;100;86,2;13,86;87,30715664
703;1,539;0,000186023;100;87,72;9,66;88,25029178
699;1,187;0,00011066;73;88,05;13,5;89,07891165
697;1,04;8,49487E-05;50;89,3;12,45;90,16369835
698;1,885;0,00027907;100;89,1;13,89;90,17617257
694;1,99;0,000311026;130;90,7;10,71;91,33013796
691;1,959;0,000301411;150;91,15;10,27;91,7267431
692;1,44;0,00016286;86;91,35;10,51;91,95261062
696;1,573;0,000194333;130;91,4;12,45;92,24403775
688;1,558;0,000190645;100;93,7;9,85;94,21630697
685;1;7,85398E-05;70;94,35;11,8;95,08502774
684;1,425;0,000159485;60;94,35;12,4;95,16134982
552;1,493;0,000175069;90;94,42;15,06;95,61349277
555;1,375;0,000148489;100;94,02;18,46;95,81509276
422;1,578;0,000195571;80;97,8;3,6;97,86623524
681;1,175;0,000108434;58;97,25;17,4;98,79434447
549;1,489;0,000174132;50;98,2;14,59;99,2779336
680;1,895001055;0,000282039;110;97,95;18,2;99,62651504
423;1,617;0,000205357;80;99,8;3,6;99,86490875
548;1,142;0,000102429;50;98,72;15,39;99,91241414
431;1,309;0,000134576;100;99,98;0,75;99,98281302
414;1,629;0,000208416;100;99,3;13,25;100,1801003
563;1,148;0,000103508;70;93,77;36,51;100,6269994
430;1,584;0,000197061;120;101,48;1,55;101,4918366
346;1,734;0,00023615;120;101,33;-10,08;101,8301296
413;1,005;7,93272E-05;70;101,8;15,15;102,921147
348;1,776;0,000247728;100;104,03;-11,48;104,6615082
438;1,499;0,000176479;125;105,68;7,1;105,9182345
354;1,249;0,000122522;70;106,77;-6,38;106,9604474
440;1,835;0,000264461;140;106,73;7,6;107,0002472
